$ bun --hot index.ts
Video processor service running on port 3002
Output directory: /home/z/Downloads/KlipPod_Output
Cache directory: /home/z/my-project/mini-services/video-processor-service/cache
Client connected: c51LZ9BGBtN6QsGtAAAB
Client connected: qtehK0Z5h4mKaa3JAAAD
Client connected: -GcQtDezqCVNgSW6AAAF
Client disconnected: qtehK0Z5h4mKaa3JAAAD
Client disconnected: -GcQtDezqCVNgSW6AAAF
Client disconnected: c51LZ9BGBtN6QsGtAAAB
Client connected: aFIZUrSxk1s995gjAAAH
Client connected: 8zTUNJgNcqqxYhOYAAAJ
Client disconnected: 8zTUNJgNcqqxYhOYAAAJ
Client disconnected: aFIZUrSxk1s995gjAAAH
Client connected: D_yhs5El9ElOrFX6AAAL
Client connected: MSM763fJ2nHDJVS5AAAN
Client disconnected: D_yhs5El9ElOrFX6AAAL
Client disconnected: MSM763fJ2nHDJVS5AAAN
Client connected: Z0rKbeUGoKmFRB_oAAAP
Client connected: BfUGHSusjmHOXXAUAAAR
Client disconnected: BfUGHSusjmHOXXAUAAAR
Client connected: XwYCKa-h0Nv4KXhnAAAT
Client connected: nkxkIKkYuN7R1I1QAAAV
Client disconnected: Z0rKbeUGoKmFRB_oAAAP
Client disconnected: XwYCKa-h0Nv4KXhnAAAT
Client connected: HAXasLK9xoOZLorOAAAX
Client disconnected: nkxkIKkYuN7R1I1QAAAV
Client connected: GcW4vZx8MJeE2aC3AAAZ
Client disconnected: HAXasLK9xoOZLorOAAAX
Client disconnected: GcW4vZx8MJeE2aC3AAAZ
Client connected: 4aNJ2W-lAz-QKyXiAAAb
Client connected: Pv4gm1hBkihf76cRAAAd
Client disconnected: 4aNJ2W-lAz-QKyXiAAAb
Client disconnected: Pv4gm1hBkihf76cRAAAd
Client connected: SvvLn8QKUOGiaSPpAAAf
Client connected: h48UixdynXYr1HcWAAAh
Client disconnected: h48UixdynXYr1HcWAAAh
Client disconnected: SvvLn8QKUOGiaSPpAAAf
Client connected: 1rHUQhYDFGchtXbIAAAj
Client connected: kgrJ7Q5b5h0onp0-AAAl
Client disconnected: kgrJ7Q5b5h0onp0-AAAl
Client disconnected: 1rHUQhYDFGchtXbIAAAj
Client connected: WRCOdmC_WfG6tvycAAAn
Client connected: ePU1KDq0me20mcJ2AAAp
Client disconnected: WRCOdmC_WfG6tvycAAAn
Client disconnected: ePU1KDq0me20mcJ2AAAp
Client connected: 82gdzHMzrCtQi_pZAAAr
Client connected: gwBTIYz31SBYfvyPAAAt
